"",weight,が良く,の良い,がよく,のよい,もよく,の悪い,が良いです,も良く,も良好です,も良いです,がいいです,が良い,が悪く,が悪い,が悪いと,もいいです,が良いのか,は良い,は良好です,が良いので,がいい,にある,の高い,がよい,もいい,は良く,もよい,もいいですね,があり,があります,は良いです,のある,がいいので,が良くて,も良い,も悪くなく,はいいと,で満足しています,も良いので,といい
weight,"",1.51897636242187e-16,1.42034288108208e-16,1.37606663062827e-16,1.36159102252228e-16,1.16167759002896e-16,1.14599282082348e-16,1.11644920229945e-16,1.07297950991256e-16,1.03332230619475e-16,1.02719446934296e-16,9.76553709112e-17,9.1570710137234e-17,9.035200820777e-17,8.28973324153342e-17,8.07278886549356e-17,8.02951670696515e-17,7.87539932260747e-17,7.83148876456399e-17,7.77030076519624e-17,7.58186987464426e-17,7.42908138386698e-17,7.23772399227822e-17,7.21614194725305e-17,7.08568099156904e-17,7.02251528163338e-17,7.0166035093145e-17,6.72379036653568e-17,6.5228755547983e-17,6.45877152500269e-17,6.41426822037611e-17,6.19077172295261e-17,6.17725927338362e-17,6.10572588159466e-17,6.07456876388405e-17,6.02942862945491e-17,5.96932934723857e-17,5.88642691646118e-17,5.84481447231635e-17,5.81540118752159e-17,5.73947545474368e-17
見栄え,3.3208244027907e-18,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
色ノリ,3.29805527515266e-18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
追従性,3.29618569729365e-18,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
グリップ,3.27548689240676e-18,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,3,0,0,1,0,0,0,0,0
バッテリー,3.26416548915668e-18,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
再現性,3.25290529444378e-18,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
作り,3.20007254816893e-18,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
ホールディング,3.15955881601153e-18,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ホールディング性,3.14166032380003e-18,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
手触り,3.12857656018555e-18,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
望遠,3.12460700292352e-18,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
コストパフォーマンス,3.0693662600101e-18,1,5,0,0,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1,0,36,3,1,0,0,3,0,0,4,0,1,0,0,0,1,1,0,1
液晶,3.05057574330386e-18,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,2
トルク,3.01632522283762e-18,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
映り,3.00630865251499e-18,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
出来栄え,2.99961201803814e-18,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
目,2.99923077005126e-18,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
