"",weight,のよい,の良い,が良く,がよく,の悪い,が悪く,が悪いと,もよく,の高い,も良好です,が悪い,がいいです,も良いです,が良いです,を上げて,が良くて,も良く,が良いのか,がよい,があり,もいいですね,を上げると,もよい,が悪いです,はいいと,を上げる,が悪いので,が良い,にある,もいいです,が感じます,が高い,がいい,がなります,は良く,が良くない,がいいので,は落ちますが,は良好です,も良くて
weight,"",2.19103644166187e-07,2.02366014155107e-07,2.00814557940632e-07,1.98448133516049e-07,1.82715120672703e-07,1.78079564593832e-07,1.58475041707624e-07,1.5045016486835e-07,1.40525741480353e-07,1.39253419788962e-07,1.32765686450527e-07,1.29943922980369e-07,1.28786947663452e-07,1.27293068753485e-07,1.23701508255012e-07,1.21425590486209e-07,1.19139861187532e-07,1.19049459283504e-07,1.18862596368044e-07,1.18210586255658e-07,1.17836441618248e-07,1.16581336427475e-07,1.15245017639739e-07,1.13154553412294e-07,1.1293917726668e-07,1.10878027942331e-07,1.10276947776086e-07,1.09566651697751e-07,1.08235880163571e-07,1.08136293928804e-07,1.05879772888999e-07,1.04585174010714e-07,1.04059761943025e-07,1.03036074866555e-07,1.02077731339867e-07,1.01292736745008e-07,1.00206533674051e-07,9.77840669791026e-08,9.75352768258164e-08,9.72295131557806e-08
満足度,3.2582946365037e-09,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
グリップ形状,3.23796021388291e-09,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
手触り,3.2338081633536e-09,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
品質,3.21013155354681e-09,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
値段,3.19990810523946e-09,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0
フィーリング,3.17501892379723e-09,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ピント精度,3.16729630005718e-09,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
状態,3.10605500802203e-09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
望遠,3.09953212309671e-09,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
階調性,3.08406603212329e-09,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
質感,3.05015315949716e-09,0,1,5,1,0,0,0,2,5,2,1,1,2,2,0,1,5,0,1,4,0,0,0,0,2,0,0,4,1,5,1,9,4,1,0,0,0,1,1,0
効果,3.04920351965203e-09,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
トルク,3.04256710620275e-09,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
設定,3.04079243697769e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0
場合,3.04049118930935e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
利便性,3.00199454259072e-09,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
